Gene Set,TYPE,Normal Breast (Epithelial-Stromal),ER-positive (Epithelial-Stromal),ER-negative (Epithelial-Stromal),Normal Breast (Epithelial-Epithelial),ER-positive (Epithelial-Epithelial),ER-negative (Epithelial-Epithelial)
X11779835_HOFFMANN_IMMATURE_TO_MATURE_B_LYMPHOCYTE,CELL_TYPE_SPEC,0.966614399,0.862663498,1,0.178473306,0.95682381,0.99288741
KEGG_PROPANOATE_METABOLISM,KEGG,0.969755793,0.862663498,1,0.98482921,0.23869023,0.415025806
KEGG_PARKINSONS_DISEASE,KEGG,0.825768985,0.870274152,0.005762334,0.088999684,0.000222511,0.99288741
AMINO_ACID_DERIVATIVE_BIOSYNTHETIC_PROCESS,GO_BP,0.966614399,0.870274152,0.442287196,0.986005804,0.261331035,0.99288741
AMINO_ACID_DERIVATIVE_METABOLIC_PROCESS,GO_BP,0.966614399,0.870274152,0.769913633,0.990999045,0.95682381,0.99288741
SECRETION,GO_BP,0.966614399,0.870274152,0.924767643,0.98482921,0.564728466,0.99288741
PHOSPHOLIPID_METABOLIC_PROCESS,GO_BP,0.942579728,0.870274152,1,0.98482921,0.738871589,0.99288741
BLOOD_COAGULATION,GO_BP,0.982891111,0.870274152,1,0.98482921,0.95682381,0.99288741
Taube 2010 (EMT),BRCA_PROG_SIG,0.953256425,0.870298521,1,0.98482921,0.878513499,0.99288741
REGULATION_OF_HEART_CONTRACTION,GO_BP,0.878139032,0.870688226,1,0.98482921,0.861964389,0.99288741
NEGATIVE_REGULATION_OF_CATALYTIC_ACTIVITY,GO_BP,0.966614399,0.873491135,1,0.98482921,0.95682381,0.99288741
Watkins 2009 (CD14 monocyte),BRCA_PROG_SIG,0.966614399,0.875461449,1,0.98482921,0.95682381,0.99288741
BONE_REMODELING,GO_BP,0.966614399,0.877209643,1,0.98482921,0.314001186,0.885659872
CARBOXYLIC_ACID_TRANSPORT,GO_BP,0.482833342,0.877243468,1,0.98482921,0.564728466,0.99288741
X17899370_BREAST_SINGER08,CELL_TYPE_SPEC,0.825768985,0.880515698,1,0.98482921,0.314001186,0.876208421
KEGG_ALZHEIMERS_DISEASE,KEGG,0.942579728,0.882218553,0.301175652,0.860958638,0.034192628,0.99288741
TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY,GO_BP,0.679572234,0.882218553,1,0.008656617,0.048704133,0.765198178
X19228925_WATKINS_2009_CD19_BCELL_MARKERS,CELL_TYPE_SPEC,0.731017251,0.882218553,1,0.98482921,0.95682381,0.99288741
APOPTOTIC_MITOCHONDRIAL_CHANGES,GO_BP,0.966614399,0.882218553,1,0.684644115,0.95682381,0.99288741
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,KEGG,0.966614399,0.882218553,1,0.98482921,0.95682381,0.99288741
HUMORAL_IMMUNE_RESPONSE,GO_BP,0.968446959,0.882218553,1,0.380039107,0.95682381,0.99288741
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,KEGG,0.399173816,0.886511716,1,0.829926384,0.95682381,0.99288741
REGULATION_OF_CELL_GROWTH,GO_BP,0.605106106,0.886511716,1,0.98482921,0.95682381,0.954286763
RESPONSE_TO_IONIZING_RADIATION,GO_BP,0.897648961,0.886511716,1,0.98482921,1,1
REGULATION_OF_ORGANELLE_ORGANIZATION_AND_BIOGENESIS,GO_BP,0.362825763,0.891230249,1,0.98482921,0.854069755,0.99288741
GENERATION_OF_A_SIGNAL_INVOLVED_IN_CELL_CELL_SIGNALING,GO_BP,0.679572234,0.893934704,1,0.98482921,0.95682381,0.99288741
REGULATION_OF_CELL_ADHESION,GO_BP,0.966614399,0.895081125,0.279373273,0.98482921,0.95682381,0.99288741
FATTY_ACID_BIOSYNTHETIC_PROCESS,GO_BP,0.453958442,0.895081125,0.556695916,0.98482921,0.958736459,0.99288741
PROTEIN_AMINO_ACID_AUTOPHOSPHORYLATION,GO_BP,0.731017251,0.895081125,0.894512384,0.98482921,0.654072857,0.99288741
AMINE_CATABOLIC_PROCESS,GO_BP,0.776097085,0.895081125,1,0.98482921,0.95682381,0.99288741
POSITIVE_REGULATION_OF_JNK_ACTIVITY,GO_BP,0.956469499,0.895081125,1,0.98482921,0.95682381,0.78095536
BRAIN_DEVELOPMENT,GO_BP,0.966614399,0.895081125,1,0.460917631,0.95682381,0.99288741
NEUROLOGICAL_SYSTEM_PROCESS,GO_BP,0.33493139,0.899571305,0.067846309,0.591147421,0.018541552,0.014590024
KEGG_P53_SIGNALING_PATHWAY,KEGG,0.941282006,0.899571305,0.417763624,0.98482921,0.401045407,0.99288741
KEGG_PROTEASOME,KEGG,0.966614399,0.900618101,0.115261586,0.98482921,0.206429172,1
KEGG_STARCH_AND_SUCROSE_METABOLISM,KEGG,0.634262081,0.900618101,0.784099091,0.98482921,0.785453342,0.005955052
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,KEGG,0.966614399,0.900618101,0.905027992,0.148099338,0.197308286,0.99288741
KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG,0.87451412,0.900618101,1,0.98482921,0.196037019,0.99288741
STRIATED_MUSCLE_DEVELOPMENT,GO_BP,0.966614399,0.900618101,1,0.966182175,0.436119833,0.765198178
HEMOSTASIS,GO_BP,0.968446959,0.900618101,1,0.98482921,0.95682381,0.99288741
COAGULATION,GO_BP,0.969755793,0.900618101,1,0.98482921,0.95682381,0.99288741
Teschendorff 2007 (immune response),BRCA_PROG_SIG,0.436054363,0.901365585,0.665788792,1,1,0.99288741
PROTEIN_RNA_COMPLEX_ASSEMBLY,GO_BP,0.799514433,0.901365585,1,0.98482921,0.037405785,0.91809351
X19847259_TRIMBOLI_2009_PTEN_NULL_FIBROBLASTS,CELL_TYPE_SPEC,0.966614399,0.902697445,0.447542605,0.98482921,0.780348557,0.605352317
NEGATIVE_REGULATION_OF_ANGIOGENESIS,GO_BP,0.966614399,0.902697445,1,0.98482921,0.885065272,0.047738258
NITROGEN_COMPOUND_CATABOLIC_PROCESS,GO_BP,0.556177792,0.905316815,1,0.98482921,0.95682381,0.99288741
INSULIN_RECEPTOR_SIGNALING_PATHWAY,GO_BP,0.966614399,0.905316815,1,0.98482921,0.580640064,0.722042549
ENDOSOME_TRANSPORT,GO_BP,0.474930916,0.908210588,1,1,0.95682381,0.99288741
HEMOPOIETIC_OR_LYMPHOID_ORGAN_DEVELOPMENT,GO_BP,0.931578109,0.909253985,0.491864708,0.98482921,0.333491843,0.99288741
Choi 2010 (quintuple negative),BRCA_PROG_SIG,0.528588729,0.909253985,0.551094836,0.793515518,0.001827492,0.422785717
SPLICEOSOME_ASSEMBLY,GO_BP,0.966614399,0.909253985,0.813120081,0.98482921,0.95682381,0.99288741
DEVELOPMENT_OF_PRIMARY_SEXUAL_CHARACTERISTICS,GO_BP,0.966614399,0.909253985,0.847976747,0.98482921,0.95682381,0.99288741
PROGRAMMED_CELL_DEATH,GO_BP,0.966614399,0.909253985,0.990851352,0.98482921,0.95682381,0.99288741
CELL_PROJECTION_BIOGENESIS,GO_BP,0.966614399,0.909253985,1,0.805513151,0.95682381,0.949689743
NEGATIVE_REGULATION_OF_CELL_CYCLE,GO_BP,0.966614399,0.909253985,1,0.149263027,0.95682381,1
Symmans 2010 (ER related),BRCA_PROG_SIG,0.985026828,0.912004424,1,0.98482921,0.95682381,0.99288741
IMMUNE_SYSTEM_DEVELOPMENT,GO_BP,0.79115466,0.912465956,0.41674967,0.98482921,0.456960445,0.99288741
CELL_FATE_COMMITMENT,GO_BP,0.966816767,0.912465956,0.681396434,0.98482921,0.411303094,0.99288741
Schmidt 2011 (humoral immune),BRCA_PROG_SIG,0.221813126,0.912465956,1,1,1,1
POSITIVE_REGULATION_OF_TRANSFERASE_ACTIVITY,GO_BP,0.87451412,0.912465956,1,0.98482921,0.95682381,0.99288741
CYTOKINE_METABOLIC_PROCESS,GO_BP,0.897648961,0.912465956,1,0.98482921,0.352720346,0.99288741
POSITIVE_REGULATION_OF_CELL_MIGRATION,GO_BP,0.966614399,0.912465956,1,1,0.95682381,0.99288741
REGULATION_OF_INTRACELLULAR_TRANSPORT,GO_BP,0.966614399,0.912465956,1,0.98482921,0.053858988,0.99288741
MALE_GONAD_DEVELOPMENT,GO_BP,0.968446959,0.913259958,1,0.98482921,0.95682381,0.99288741
KEGG_PENTOSE_PHOSPHATE_PATHWAY,KEGG,0.243659125,0.916930434,0.146757192,0.98482921,0.679371793,0.653760913
CELL_MATURATION,GO_BP,0.243984124,0.916930434,0.19779186,0.98482921,0.95682381,0.99288741
STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY,GO_BP,0.931578109,0.916930434,0.784099091,0.006469938,0.299284259,0.99288741
KEGG_LONG_TERM_POTENTIATION,KEGG,0.39906532,0.916930434,1,0.01198453,0.95682381,0.282528014
PHOSPHOLIPASE_C_ACTIVATION,GO_BP,0.453958442,0.916930434,1,0.975281425,0.95682381,0.765198178
INTERLEUKIN_8_BIOSYNTHETIC_PROCESS,GO_BP,0.657109351,0.916930434,1,0.714789159,0.654072857,0.91809351
RESPONSE_TO_CARBOHYDRATE_STIMULUS,GO_BP,0.688115629,0.916930434,1,1,0.42232664,0.99288741
MEIOTIC_CELL_CYCLE,GO_BP,0.941282006,0.916930434,1,0.425263185,0.709696395,0.99288741
CELLULAR_PROTEIN_METABOLIC_PROCESS,GO_BP,0.966614399,0.916930434,1,0.713870768,0.95682381,1
DEFENSE_RESPONSE_TO_VIRUS,GO_BP,0.966614399,0.916930434,1,0.823852662,0.95682381,0.722042549
PROTEIN_POLYUBIQUITINATION,GO_BP,0.966614399,0.916930434,1,1,0.95682381,0.99288741
N_ACETYLGLUCOSAMINE_METABOLIC_PROCESS,GO_BP,0.967744591,0.916930434,1,0.805513151,0.510775683,0.99288741
ORGANIC_ACID_TRANSPORT,GO_BP,0.680247026,0.917198698,1,0.98482921,0.664324167,0.99288741
ORGANELLE_LOCALIZATION,GO_BP,0.966614399,0.92337562,0.417763624,0.98482921,0.010112854,0.678592704
SECRETORY_PATHWAY,GO_BP,0.98896213,0.92462908,1,0.98482921,0.909617339,0.99288741
REGULATION_OF_HORMONE_SECRETION,GO_BP,0.78810285,0.933486175,0.604633842,0.98714369,0.95682381,0.99288741
REGULATION_OF_TRANSPORT,GO_BP,0.986110792,0.933808734,1,0.619126726,0.867752766,0.875295091
RESPONSE_TO_DRUG,GO_BP,0.968446959,0.935962474,0.438155017,0.98482921,0.95682381,1
EPIDERMIS_DEVELOPMENT,GO_BP,0.908966187,0.935962474,0.550090926,0.619126726,0.95682381,0.99288741
KEGG_NUCLEOTIDE_EXCISION_REPAIR,KEGG,0.994100522,0.935962474,0.797528269,0.98482921,0.95682381,0.99288741
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,KEGG,0.391109104,0.935962474,1,0.220146256,0.927775393,0.997362405
SIGNAL_TRANSDUCTION,GO_BP,0.482933873,0.935962474,1,0.220146256,0.647236155,0.833862634
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,KEGG,0.966614399,0.935962474,1,0.98482921,0.95682381,0.99288741
ACTIVATION_OF_IMMUNE_RESPONSE,GO_BP,0.968699372,0.935962474,1,0.98482921,0.95682381,0.99288741
SEXUAL_REPRODUCTION,GO_BP,0.157869838,0.939053484,0.143122066,0.98482921,0.048704133,1.84E-05
SECONDARY_METABOLIC_PROCESS,GO_BP,0.966614399,0.939053484,0.35089389,0.98482921,0.95682381,0.99288741
RHO_PROTEIN_SIGNAL_TRANSDUCTION,GO_BP,0.966614399,0.941218569,1,0.98482921,0.95682381,0.99288741
SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION,GO_BP,0.87707119,0.945829386,1,0.98482921,0.968196519,1
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,KEGG,0.310369017,0.947950559,1,0.588338811,0.95682381,0.99288741
EXTRACELLULAR_STRUCTURE_ORGANIZATION_AND_BIOGENESIS,GO_BP,0.201084108,0.949485766,0.779519401,0.98482921,0.580640064,0.99288741
REGULATION_OF_PROTEIN_STABILITY,GO_BP,0.966614399,0.950843339,0.115261586,1,0.787652918,0.273673564
LEUKOCYTE_CHEMOTAXIS,GO_BP,0.406588793,0.950843339,1,0.98482921,0.95682381,0.604436643
INTRACELLULAR_SIGNALING_CASCADE,GO_BP,0.78810285,0.950843339,1,0.326977488,0.95682381,0.99288741
RESPONSE_TO_CHEMICAL_STIMULUS,GO_BP,0.916625156,0.950843339,1,0.98482921,0.325137186,1
REGULATED_SECRETORY_PATHWAY,GO_BP,0.947424303,0.950843339,1,0.98482921,0.63068002,0.99288741
MEMBRANE_LIPID_METABOLIC_PROCESS,GO_BP,0.948392385,0.950843339,1,0.98482921,0.95682381,0.99288741
Liu 2007 (IGS),BRCA_PROG_SIG,0.966614399,0.950843339,1,0.98482921,0.958736459,0.954286763
COENZYME_BIOSYNTHETIC_PROCESS,GO_BP,0.966614399,0.950843339,1,1,0.95682381,1
GLUCOSAMINE_METABOLIC_PROCESS,GO_BP,0.966614399,0.950843339,1,0.816175075,0.298323941,0.99288741
NUCLEOSOME_ASSEMBLY,GO_BP,0.966614399,0.950843339,1,0.98482921,0.95682381,0.99288741
JAK_STAT_CASCADE,GO_BP,0.53234435,0.957259342,1,0.805513151,0.595891093,0.99288741
POSITIVE_REGULATION_OF_TRANSLATION,GO_BP,0.87451412,0.957259342,1,0.98482921,0.169457156,0.99288741
SPINDLE_ORGANIZATION_AND_BIOGENESIS,GO_BP,0.966614399,0.958003721,0.098241426,1,0.800369827,0.99288741
POSITIVE_REGULATION_OF_DNA_BINDING,GO_BP,0.966614399,0.958003721,0.255766963,0.98482921,0.95682381,0.341797502
BIOPOLYMER_CATABOLIC_PROCESS,GO_BP,0.966614399,0.958003721,0.264161494,0.98482921,0.95682381,0.99288741
POSITIVE_REGULATION_OF_BINDING,GO_BP,0.957891178,0.958003721,0.629617085,0.98482921,0.780348557,0.521537547
INTRACELLULAR_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,GO_BP,0.948392385,0.958003721,0.852115534,0.06182638,0.319513103,0.99288741
POSITIVE_REGULATION_OF_CASPASE_ACTIVITY,GO_BP,0.966614399,0.958003721,0.925886005,0.792782518,0.95682381,0.885659872
KEGG_ECM_RECEPTOR_INTERACTION,KEGG,0.261976502,0.958003721,1,0.185870206,0.017276612,1.47E-06
Minn 2005 (lung met 54 genes),BRCA_PROG_SIG,0.3309821,0.958003721,1,0.98482921,0.95682381,0.827330174
KEGG_LEISHMANIA_INFECTION,KEGG,0.342017142,0.958003721,1,0.98482921,0.95682381,0.82095962
CATABOLIC_PROCESS,GO_BP,0.392965529,0.958003721,1,0.98482921,0.442502438,0.99288741
KEGG_BASAL_CELL_CARCINOMA,KEGG,0.394335853,0.958003721,1,0.98482921,0.270360796,0.480771074
REGULATION_OF_GROWTH,GO_BP,0.474569461,0.958003721,1,0.98482921,0.95682381,0.99288741
NEGATIVE_REGULATION_OF_PHOSPHORYLATION,GO_BP,0.660874872,0.958003721,1,0.98482921,0.95682381,0.653760913
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG,0.664709514,0.958003721,1,0.727452279,0.640114236,0.876208421
REGULATION_OF_CELLULAR_PROTEIN_METABOLIC_PROCESS,GO_BP,0.87451412,0.958003721,1,0.98482921,0.05535031,0.99288741
REGULATION_OF_PROTEIN_METABOLIC_PROCESS,GO_BP,0.87451412,0.958003721,1,0.967451881,0.090741371,0.99288741
DEFENSE_RESPONSE_TO_BACTERIUM,GO_BP,0.878139032,0.958003721,1,0.98482921,0.350283709,0.99288741
HORMONE_SECRETION,GO_BP,0.920119924,0.958003721,1,0.990999045,0.95682381,0.99288741
KEGG_LYSINE_DEGRADATION,KEGG,0.966614399,0.958003721,1,0.19449365,0.95682381,0.99288741
OXYGEN_AND_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,GO_BP,0.968446959,0.958003721,1,0.98482921,0.95682381,0.99288741
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,KEGG,0.966614399,0.959927739,0.438155017,0.3645083,0.95682381,0.99288741
NITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS,GO_BP,0.966614399,0.959927739,0.739816084,0.813512984,0.95682381,0.99288741
POSITIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS,GO_BP,0.285063893,0.959927739,1,0.98482921,0.486338869,0.99288741
AMINO_ACID_CATABOLIC_PROCESS,GO_BP,0.78810285,0.959927739,1,0.98482921,0.95682381,0.99288741
NEGATIVE_REGULATION_OF_TRANSPORT,GO_BP,0.799514433,0.959927739,1,0.98482921,0.209492862,0.99288741
NEGATIVE_REGULATION_OF_GROWTH,GO_BP,0.931578109,0.959927739,1,0.98482921,0.95682381,0.99288741
G_PROTEIN_SIGNALING_COUPLED_TO_IP3_SECOND_MESSENGERPHOSPHOLIPASE_C_ACTIVATING,GO_BP,0.966614399,0.959927739,1,0.98482921,0.673533569,0.99288741
MYOBLAST_DIFFERENTIATION,GO_BP,0.966614399,0.959927739,1,0.98482921,0.95682381,0.99288741
PROTEIN_AMINO_ACID_O_LINKED_GLYCOSYLATION,GO_BP,0.966614399,0.959927739,1,0.98482921,0.054800332,0.99288741
ECTODERM_DEVELOPMENT,GO_BP,0.483144274,0.960692864,0.629617085,0.945249496,0.95682381,0.99288741
VIRAL_GENOME_REPLICATION,GO_BP,0.942579728,0.961794872,0.791653796,0.98482921,0.95682381,0.890870173
REGULATION_OF_T_CELL_ACTIVATION,GO_BP,0.006164867,0.961794872,1,0.524365392,0.95682381,0.99288741
POSITIVE_REGULATION_OF_CELL_PROLIFERATION,GO_BP,0.921214209,0.961794872,1,0.98482921,0.757194668,0.99288741
NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION,GO_BP,0.966614399,0.961794872,1,0.98482921,0.749260095,0.99288741
OLIGOSACCHARIDE_METABOLIC_PROCESS,GO_BP,0.966614399,0.961794872,1,1,0.790238999,0.99288741
Hess 2006 (pCR chemotherapy),BRCA_PROG_SIG,0.972986025,0.961794872,1,0.795067545,0.95682381,0.853521112
KEGG_SPLICEOSOME,KEGG,0.966614399,0.962520513,0.033530625,0.98482921,0.95682381,0.99288741
HEME_METABOLIC_PROCESS,GO_BP,0.966614399,0.962520513,0.73411425,0.683651798,0.38792783,0.99288741
CYTOKINE_BIOSYNTHETIC_PROCESS,GO_BP,0.924163029,0.962520513,1,0.98482921,0.48357292,0.99288741
REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS,GO_BP,0.931578109,0.962520513,1,0.721543439,0.280556157,0.99288741
Watkins 2009 (megakaryocyte),BRCA_PROG_SIG,0.966614399,0.962520513,1,0.98482921,0.980147555,0.99288741
MITOCHONDRIAL_MEMBRANE_ORGANIZATION_AND_BIOGENESIS,GO_BP,0.969659776,0.962520513,1,0.98482921,0.427989782,1
Watkins 2009 (CD66b granulocyte),BRCA_PROG_SIG,1,0.965678032,1,0.617753079,0.95682381,1
HEME_BIOSYNTHETIC_PROCESS,GO_BP,0.966614399,0.966450989,0.279373273,0.683651798,0.270129726,0.99288741
CALCIUM_MEDIATED_SIGNALING,GO_BP,0.979117125,0.966450989,0.417763624,1,0.95682381,0.026897708
PROTEIN_STABILIZATION,GO_BP,0.969755793,0.966450989,0.445555066,1,0.623943131,0.99288741
POSITIVE_REGULATION_OF_TRANSCRIPTION_FACTOR_ACTIVITY,GO_BP,0.951647968,0.966450989,0.473945346,0.98482921,0.95682381,0.368393954
Chang 2004 (CSR),BRCA_PROG_SIG,0.980731524,0.966450989,0.940359299,0.98482921,0.95682381,1
REGULATION_OF_LYMPHOCYTE_ACTIVATION,GO_BP,0.0003534,0.966450989,1,0.683651798,0.95682381,0.99288741
T_CELL_ACTIVATION,GO_BP,0.02655801,0.966450989,1,0.795067545,0.697653776,0.99288741
POSITIVE_REGULATION_OF_CELLULAR_PROTEIN_METABOLIC_PROCESS,GO_BP,0.482833342,0.966450989,1,0.98482921,0.180551285,0.99288741
ER+/normL predictor,BRCA_PROG_SIG,0.528180684,0.966450989,1,0.98482921,0.95682381,0.99288741
KEGG_GNRH_SIGNALING_PATHWAY,KEGG,0.634262081,0.966450989,1,0.468790889,0.95682381,0.99288741
COENZYME_METABOLIC_PROCESS,GO_BP,0.731017251,0.966450989,1,0.98482921,0.456960445,0.99288741
CHROMOSOME_ORGANIZATION_AND_BIOGENESIS,GO_BP,0.776097085,0.966450989,1,0.98482921,0.421855197,0.99288741
POSITIVE_REGULATION_OF_CYTOKINE_BIOSYNTHETIC_PROCESS,GO_BP,0.886233455,0.966450989,1,0.98482921,0.068460229,0.99288741
ANION_TRANSPORT,GO_BP,0.900015098,0.966450989,1,0.98482921,0.001583371,0.99288741
PROTEIN_FOLDING,GO_BP,0.931578109,0.966450989,1,0.099322874,0.001827492,0.850872345
REGULATION_OF_CYTOKINE_BIOSYNTHETIC_PROCESS,GO_BP,0.937703722,0.966450989,1,0.98482921,0.444971498,0.99288741
X19228925_WATKINS_2009_MEGAKARYOCYTE_MARKERS,CELL_TYPE_SPEC,0.966614399,0.966450989,1,0.912267743,0.992500984,0.99288741
CELLULAR_MACROMOLECULE_METABOLIC_PROCESS,GO_BP,0.966614399,0.966450989,1,0.652413601,0.787652918,1
Galon 2006 (inflammation),BRCA_PROG_SIG,0.966614399,0.973652017,0.043779959,1,1,1
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG,KEGG,0.931578109,0.973652017,0.105408802,0.19449365,0.523882012,0.91809351
RESPONSE_TO_OXIDATIVE_STRESS,GO_BP,0.966614399,0.973652017,0.262838394,0.98482921,0.704508827,0.99288741
ION_TRANSPORT,GO_BP,0.083892291,0.973652017,0.280474609,0.98482921,0.022790242,6.60E-06
KEGG_ONE_CARBON_POOL_BY_FOLATE,KEGG,0.966614399,0.973652017,0.436862602,1,0.36663697,0.99288741
Watkins 2009 (CD56 NK),BRCA_PROG_SIG,0.966614399,0.973652017,0.501834054,0.98714369,0.95682381,0.99288741
FEMALE_GAMETE_GENERATION,GO_BP,0.198546046,0.973652017,0.768109928,0.899896061,0.192698757,0.011450906
RHYTHMIC_PROCESS,GO_BP,0.897648961,0.973652017,0.852115534,0.98482921,0.95682381,0.820604446
TISSUE_DEVELOPMENT,GO_BP,0.837510698,0.973652017,0.935162429,0.98482921,0.95682381,0.99288741
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS,KEGG,0.770514742,0.973652017,0.935978569,0.98482921,0.95682381,0.368393954
KEGG_RIBOFLAVIN_METABOLISM,KEGG,0.966614399,0.973652017,0.957480723,0.98482921,0.95682381,0.99288741
ALCOHOL_METABOLIC_PROCESS,GO_BP,0.020471789,0.973652017,1,0.48359943,0.704508827,0.99288741
REGULATION_OF_T_CELL_PROLIFERATION,GO_BP,0.02655801,0.973652017,1,0.98482921,0.635225986,0.99288741
STRIATED_MUSCLE_CONTRACTION_GO_0006941,GO_BP,0.1961899,0.973652017,1,0.795067545,0.314001186,0.99288741
LEUKOCYTE_ACTIVATION,GO_BP,0.483144274,0.973652017,1,0.3645083,0.696145606,0.901949043
Watkins 2009 (CD19 B cell),BRCA_PROG_SIG,0.811666041,0.973652017,1,0.98482921,0.95682381,1
CELL_MIGRATION,GO_BP,0.837510698,0.973652017,1,0.353074117,0.965636698,0.99288741
KERATINOCYTE_DIFFERENTIATION,GO_BP,0.878139032,0.973652017,1,0.98482921,0.95682381,0.99288741
KEGG_HISTIDINE_METABOLISM,KEGG,0.90705619,0.973652017,1,0.98482921,0.799903355,0.99288741
DEPHOSPHORYLATION,GO_BP,0.914014042,0.973652017,1,0.98482921,0.939283093,0.99288741
Thuerigen 2006 (neoadjuvant chemotherapy),BRCA_PROG_SIG,0.941282006,0.973652017,1,0.98482921,0.757194668,0.99288741
CIRCADIAN_RHYTHM,GO_BP,0.948392385,0.973652017,1,0.98482921,0.95682381,0.99288741
KEGG_ETHER_LIPID_METABOLISM,KEGG,0.956084575,0.973652017,1,0.98482921,0.95682381,0.99288741
X15051823_URS_ADIPOCYTE_DIFFERENTIATION,CELL_TYPE_SPEC,0.966614399,0.973652017,1,0.98482921,0.95682381,0.99288741
CELL_PROLIFERATION_GO_0008283,GO_BP,0.966614399,0.973652017,1,0.404493501,0.95682381,0.99288741
INTERFERON_GAMMA_BIOSYNTHETIC_PROCESS,GO_BP,0.966614399,0.973652017,1,0.990999045,0.95682381,0.111118405
MITOCHONDRION_ORGANIZATION_AND_BIOGENESIS,GO_BP,0.966614399,0.973652017,1,0.98482921,0.95682381,0.99288741
PROTEIN_AMINO_ACID_DEPHOSPHORYLATION,GO_BP,0.966614399,0.973652017,1,0.98482921,0.95682381,0.99288741
VITAMIN_METABOLIC_PROCESS,GO_BP,0.966614399,0.973652017,1,1,0.350426654,0.99288741
PATTERN_SPECIFICATION_PROCESS,GO_BP,0.9784838,0.973652017,1,0.98482921,0.95682381,0.99288741
REGULATION_OF_LIPID_METABOLIC_PROCESS,GO_BP,0.966614399,0.975393068,0.779519401,0.98482921,0.95682381,0.99288741
RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS_AND_ASSEMBLY,GO_BP,0.956469499,0.975639417,0.681983665,0.646741441,0.08159868,0.99288741
STEROID_METABOLIC_PROCESS,GO_BP,0.110230728,0.975639417,1,0.333735923,0.76650532,0.99288741
MAINTENANCE_OF_LOCALIZATION,GO_BP,0.321643476,0.975639417,1,0.98482921,0.95682381,0.99288741
POSITIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION,GO_BP,0.482833342,0.975639417,1,0.813512984,0.95682381,0.430299064
Tosolini 2001 (A2 Th1),BRCA_PROG_SIG,0.6098786,0.975639417,1,0.714789159,0.95682381,0.99288741
NUCLEOBASENUCLEOSIDE_AND_NUCLEOTIDE_METABOLIC_PROCESS,GO_BP,0.674894713,0.975639417,1,0.793515518,0.607742893,0.99288741
NEUROTRANSMITTER_SECRETION,GO_BP,0.957077611,0.975639417,1,0.98482921,0.902289482,0.99288741
Galon 2006 (immune suppression),BRCA_PROG_SIG,0.966614399,0.975639417,1,0.98482921,1,0.99288741
PHOSPHOINOSITIDE_MEDIATED_SIGNALING,GO_BP,0.966614399,0.975639417,1,0.98482921,0.203181462,0.99288741
SPHINGOLIPID_METABOLIC_PROCESS,GO_BP,0.966614399,0.975639417,1,0.995842641,0.95682381,0.99288741
X11493461_NAKAJIMA_EOSINOPHIL,CELL_TYPE_SPEC,0.908966187,0.977141191,1,0.98482921,0.95682381,0.325624837
KEGG_ABC_TRANSPORTERS,KEGG,0.966614399,0.980164249,0.791653796,0.98482921,0.95682381,0.994285002
DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION,GO_BP,0.1961899,0.980860765,0.16150146,0.98482921,0.008220941,0.99288741
REGULATION_OF_KINASE_ACTIVITY,GO_BP,0.966614399,0.982196626,1,0.98482921,0.95682381,0.99288741
METAL_ION_TRANSPORT,GO_BP,1.02E-05,0.982261387,0.247914272,0.98482921,0.490302861,0.001026142
KEGG_COLORECTAL_CANCER,KEGG,0.931578109,0.982261387,1,0.713870768,0.968196519,0.99288741
KEGG_PEROXISOME,KEGG,0.966614399,0.982261387,1,0.98482921,0.755366234,0.99288741
ACTIVATION_OF_NF_KAPPAB_TRANSCRIPTION_FACTOR,GO_BP,0.877951832,0.982265999,0.604633842,0.98482921,0.95682381,0.28100228
PEROXISOME_ORGANIZATION_AND_BIOGENESIS,GO_BP,0.847904505,0.982265999,1,0.98482921,0.919784087,0.99288741
COFACTOR_METABOLIC_PROCESS,GO_BP,0.920119924,0.982265999,1,0.98482921,0.95682381,0.99288741
