	NormDegree	StromaNorm	EpiNorm	BrPDegree	StromaBrP	EpiBrP	BrNDegree	StromaBrN	EpiBrN	norm.self	erp.self	ern.self
AOC2	1	0	1	0	0	0	5	1	4	0	0	0
PDGFRB	1	0	1	0	0	0	0	0	0	0	0	0
DOCK5	3	0	3	0	0	0	9	0	9	0	0	0
CEACAM7	2	0	2	3	0	3	5	0	5	0	0	0
CASQ1	1	0	1	0	0	0	1	1	0	0	0	0
TTPAL	2	0	2	0	0	0	0	0	0	0	0	0
DIAPH3	1	0	1	0	0	0	0	0	0	0	0	0
GPR110	2	0	2	2	0	2	0	0	0	0	0	0
VOPP1	1	0	1	2	2	0	0	0	0	0	0	0
CELF2	1	0	1	0	0	0	0	0	0	0	0	0
PHKA1	1	0	1	1	1	0	3	3	0	0	0	0
CMA1	1	0	1	1	1	0	1	0	1	0	0	0
ADH5	1	0	1	0	0	0	2	0	2	0	0	0
PRMT5	2	0	2	8	1	7	1	0	1	0	0	0
FBL	1	0	1	3	0	3	12	3	9	0	0	0
MT1H	2	0	2	0	0	0	2	0	2	0	0	0
CNOT8	1	0	1	2	1	1	4	3	1	0	0	0
TNNI1	1	0	1	0	0	0	0	0	0	0	0	0
NRGN	3	0	3	4	4	0	2	1	1	0	0	0
NDRG4	1	0	1	1	1	0	0	0	0	0	0	0
TMED7	1	0	1	0	0	0	1	0	1	0	0	0
PREPL	1	0	1	0	0	0	0	0	0	0	0	0
CHMP1B	1	0	1	0	0	0	0	0	0	0	0	0
OSGIN1	1	0	1	0	0	0	0	0	0	0	0	0
HECTD3	1	0	1	0	0	0	3	3	0	0	0	0
DSC1	1	0	1	0	0	0	0	0	0	0	0	0
PHEX	3	0	3	2	2	0	0	0	0	0	0	0
STAG3	3	0	3	2	1	1	0	0	0	0	0	0
SRP14	1	0	1	1	0	1	0	0	0	0	0	0
FXR1	1	0	1	0	0	0	0	0	0	0	0	0
PRM1	2	0	2	1	1	0	2	0	2	0	0	0
FURIN	1	0	1	0	0	0	0	0	0	0	0	0
POU2F3	1	0	1	0	0	0	1	1	0	0	0	0
ASIP	1	0	1	0	0	0	0	0	0	0	0	0
LPP	1	0	1	0	0	0	0	0	0	0	0	0
GIPC1	2	0	2	0	0	0	0	0	0	0	0	0
RAB6B	1	0	1	0	0	0	0	0	0	0	0	0
MDFI	2	0	2	0	0	0	1	1	0	0	0	0
TOB2	1	0	1	0	0	0	0	0	0	0	0	0
MAPKAPK3	2	0	2	0	0	0	1	0	1	0	0	0
ADSS	2	0	2	0	0	0	1	0	1	0	0	0
CHN2	1	0	1	11	1	10	2	1	1	0	0	0
SLC25A4	1	0	1	2	1	1	1	0	1	0	0	0
EIF3C	1	0	1	3	1	2	1	1	0	0	0	0
CETP	2	0	2	2	0	2	1	0	1	0	0	0
GSTO1	1	0	1	0	0	0	0	0	0	0	0	0
IFNA21	2	0	2	1	1	0	4	2	2	0	0	0
LCP1	1	0	1	0	0	0	1	1	0	0	0	0
DNAJC16	2	0	2	0	0	0	0	0	0	0	0	0
KIF1A	2	0	2	0	0	0	0	0	0	0	0	0
TLN1	1	0	1	2	2	0	0	0	0	0	0	0
KISS1	1	0	1	1	0	1	0	0	0	0	0	0
KIN	1	0	1	0	0	0	1	1	0	0	0	0
PRKD1	3	0	3	1	0	1	0	0	0	0	0	0
TRIM44	1	0	1	0	0	0	0	0	0	0	0	0
SESN1	2	0	2	1	1	0	0	0	0	0	0	0
SUV39H1	1	0	1	6	5	1	2	0	2	0	0	0
ZNF263	2	0	2	0	0	0	1	0	1	0	0	0
ALPPL2	1	0	1	3	1	2	0	0	0	0	0	0
TRIM32	1	0	1	0	0	0	0	0	0	0	0	0
MAD1L1	3	0	3	3	2	1	0	0	0	0	0	0
CYP2U1	1	0	1	0	0	0	11	6	5	0	0	0
GABRQ	1	0	1	0	0	0	0	0	0	0	0	0
GPR65	1	0	1	0	0	0	1	1	0	0	0	0
FEV	1	0	1	0	0	0	7	0	7	0	0	0
PDSS1	1	0	1	2	0	2	1	0	1	0	0	0
TLX2	2	0	2	2	2	0	0	0	0	0	0	0
TPK1	1	0	1	2	2	0	22	18	4	0	0	0
CCT3	1	0	1	3	2	1	22	18	4	0	0	0
ARMCX6	1	0	1	1	1	0	0	0	0	0	0	0
SATB1	3	0	3	0	0	0	1	1	0	0	0	0
HBE1	3	0	3	4	1	3	0	0	0	0	0	0
LRP1B	2	0	2	1	1	0	22	0	22	0	0	0
PRRG3	1	0	1	1	1	0	7	2	5	0	0	0
FAIM2	2	0	2	2	1	1	0	0	0	0	0	0
DYRK1A	2	0	2	0	0	0	0	0	0	0	0	0
GPS2	1	0	1	1	0	1	3	3	0	0	0	0
CROT	1	0	1	1	1	0	0	0	0	0	0	0
NR1H4	2	0	2	0	0	0	1	1	0	0	0	0
GSTM5	2	0	2	3	1	2	4	2	2	0	0	0
RYR2	1	0	1	1	1	0	1	1	0	0	0	0
LHX5	1	0	1	0	0	0	0	0	0	0	0	0
TNFRSF13B	2	0	2	0	0	0	0	0	0	0	0	0
VPREB3	1	0	1	0	0	0	1	0	1	0	0	0
SAP30L	2	0	2	2	0	2	1	1	0	0	0	0
USP33	2	0	2	1	1	0	0	0	0	0	0	0
ENY2	1	0	1	0	0	0	16	5	11	0	0	0
LCE2B	5	0	5	2	1	1	3	0	3	0	0	0
RUVBL1	1	0	1	2	0	2	8	0	8	0	0	0
NPTX2	1	0	1	2	1	1	3	0	3	0	0	0
EHD4	1	0	1	0	0	0	2	0	2	0	0	0
TSGA14	2	0	2	1	0	1	7	6	1	0	0	0
ZCCHC11	1	0	1	0	0	0	0	0	0	0	0	0
NPL	2	0	2	1	1	0	5	2	3	0	0	0
SP140L	3	0	3	7	7	0	1	1	0	0	0	0
PIKFYVE	1	0	1	0	0	0	1	1	0	0	0	0
CISD1	3	0	3	2	1	1	0	0	0	0	0	0
CHST5	1	0	1	12	0	12	2	1	1	0	0	0
HYI	1	0	1	1	1	0	0	0	0	0	0	0
DAGLA	2	0	2	2	2	0	0	0	0	0	0	0
TMPRSS5	1	0	1	1	1	0	0	0	0	0	0	0
MIA2	1	0	1	0	0	0	3	0	3	0	0	0
ZSCAN5A	1	0	1	2	0	2	0	0	0	0	0	0
ZNF747	1	0	1	0	0	0	0	0	0	0	0	0
RND1	1	0	1	2	0	2	1	1	0	0	0	0
LRBA	2	0	2	4	2	2	0	0	0	0	0	0
IPO7	2	0	2	0	0	0	0	0	0	0	0	0
IL18RAP	1	0	1	0	0	0	1	0	1	0	0	0
LRP2	1	0	1	0	0	0	0	0	0	0	0	0
RHOT2	1	0	1	2	1	1	3	2	1	0	0	0
MATN2	1	0	1	2	0	2	0	0	0	0	0	0
COLEC11	1	0	1	5	0	5	0	0	0	0	0	0
SMARCD3	1	0	1	1	0	1	0	0	0	0	0	0
CECR1	1	0	1	1	1	0	1	0	1	0	0	0
CLASP2	3	0	3	0	0	0	0	0	0	0	0	0
SPP2	2	0	2	1	0	1	1	0	1	0	0	0
CD1A	1	0	1	0	0	0	0	0	0	0	0	0
PMM2	1	0	1	0	0	0	0	0	0	0	0	0
GAGE1	1	0	1	4	0	4	1	1	0	0	0	0
NUP50	1	0	1	0	0	0	0	0	0	0	0	0
TMEM104	1	0	1	0	0	0	0	0	0	0	0	0
NTAN1	3	0	3	0	0	0	1	1	0	0	0	0
TGS1	2	0	2	0	0	0	1	1	0	0	0	0
EMD	1	0	1	0	0	0	1	1	0	0	0	0
HNRNPA1	2	0	2	6	0	6	0	0	0	0	0	0
SLC6A14	1	0	1	3	0	3	2	2	0	0	0	0
ZZEF1	1	0	1	4	2	2	0	0	0	0	0	0
GOLGA7	1	0	1	1	0	1	3	3	0	0	0	0
SEZ6L	1	0	1	6	2	4	2	1	1	0	0	0
CREBZF	1	0	1	0	0	0	2	0	2	0	0	0
SECISBP2	1	0	1	1	0	1	0	0	0	0	0	0
KCNK15	1	0	1	1	0	1	1	0	1	0	0	0
GAPDH	2	0	2	0	0	0	25	23	2	0	0	0
LGALS14	2	0	2	0	0	0	0	0	0	0	0	0
RAB31	1	0	1	3	3	0	2	0	2	0	0	0
STT3A	1	0	1	1	1	0	0	0	0	0	0	0
CYP3A5	2	0	2	0	0	0	4	3	1	0	0	0
CCBP2	2	0	2	0	0	0	0	0	0	0	0	0
APAF1	3	0	3	0	0	0	0	0	0	0	0	0
GPR173	1	0	1	0	0	0	0	0	0	0	0	0
MS4A2	1	0	1	1	0	1	1	0	1	0	0	0
SNX29	1	0	1	0	0	0	24	11	13	0	0	0
LECT1	1	0	1	0	0	0	2	0	2	0	0	0
IGFLR1	1	0	1	0	0	0	1	1	0	0	0	0
IMPG2	1	0	1	1	0	1	0	0	0	0	0	0
POLR2D	2	0	2	0	0	0	2	0	2	0	0	0
TARBP1	1	0	1	0	0	0	7	7	0	0	0	0
COL9A2	1	0	1	0	0	0	1	1	0	0	0	0
CSH1	1	0	1	6	1	5	0	0	0	0	0	0
C1orf129	1	0	1	0	0	0	0	0	0	0	0	0
CACNA1I	1	0	1	0	0	0	0	0	0	0	0	0
PUS1	1	0	1	0	0	0	3	1	2	0	0	0
VIP	1	0	1	2	2	0	1	0	1	0	0	0
GORASP2	1	0	1	0	0	0	0	0	0	0	0	0
SLC43A1	2	0	2	2	0	2	1	1	0	0	0	0
HBB	3	0	3	1	0	1	2	0	2	0	0	0
ATP6V0E1	1	0	1	0	0	0	0	0	0	0	0	0
NR4A2	1	0	1	0	0	0	2	0	2	0	0	0
RNF41	2	0	2	0	0	0	2	0	2	0	0	0
ISCA1	1	0	1	2	0	2	0	0	0	0	0	0
BCORL1	1	0	1	3	2	1	0	0	0	0	0	0
FBXL4	1	0	1	0	0	0	0	0	0	0	0	0
SLMO1	1	0	1	1	0	1	0	0	0	0	0	0
XPO4	1	0	1	0	0	0	0	0	0	0	0	0
WDR33	1	0	1	0	0	0	0	0	0	0	0	0
KIAA0232	1	0	1	1	0	1	0	0	0	0	0	0
DCTN1	3	0	3	7	2	5	1	0	1	0	0	0
F5	1	0	1	0	0	0	0	0	0	0	0	0
GMPR2	1	0	1	0	0	0	2	0	2	0	0	0
GFI1B	1	0	1	4	3	1	0	0	0	0	0	0
HIST1H2BO	1	0	1	0	0	0	0	0	0	0	0	0
CEACAM3	1	0	1	2	0	2	0	0	0	0	0	0
AKR1C1	2	0	2	0	0	0	0	0	0	0	0	0
PTGER3	1	0	1	1	1	0	2	2	0	0	0	0
ART4	1	0	1	1	0	1	3	1	2	0	0	0
FBXL14	1	0	1	1	1	0	0	0	0	0	0	0
AKAP1	1	0	1	0	0	0	2	1	1	0	0	0
HIF3A	2	0	2	0	0	0	8	8	0	0	0	0
PSKH1	1	0	1	1	1	0	0	0	0	0	0	0
BICC1	1	0	1	2	0	2	1	0	1	0	0	0
POGZ	2	0	2	7	6	1	1	0	1	0	0	0
TRIB2	1	0	1	0	0	0	3	3	0	0	0	0
GMPPA	1	0	1	1	0	1	0	0	0	0	0	0
SEMA3G	1	0	1	0	0	0	4	0	4	0	0	0
GCN1L1	2	0	2	1	0	1	1	1	0	0	0	0
NPVF	1	0	1	2	2	0	2	0	2	0	0	0
SSBP3	1	0	1	0	0	0	0	0	0	0	0	0
RNF170	1	0	1	0	0	0	2	2	0	0	0	0
CNKSR2	1	0	1	0	0	0	1	1	0	0	0	0
PMM1	1	0	1	0	0	0	0	0	0	0	0	0
APEX1	1	0	1	6	5	1	0	0	0	0	0	0
LRRC8B	2	0	2	1	1	0	0	0	0	0	0	0
CALCB	2	0	2	3	3	0	2	2	0	0	0	0
MC2R	1	0	1	1	1	0	2	0	2	0	0	0
UMPS	2	0	2	2	0	2	11	0	11	0	0	0
F2RL3	1	0	1	0	0	0	0	0	0	0	0	0
ALCAM	3	0	3	2	1	1	0	0	0	0	0	0
LETM1	1	0	1	0	0	0	1	1	0	0	0	0
MUDENG	2	0	2	0	0	0	2	1	1	0	0	0
ATF6	1	0	1	2	2	0	2	2	0	0	0	0
SRD5A3	1	0	1	1	0	1	7	7	0	0	0	0
CIDEB	1	0	1	3	2	1	0	0	0	0	0	0
VEGFB	4	0	4	0	0	0	1	1	0	0	0	0
TRAPPC2L	1	0	1	0	0	0	2	2	0	0	0	0
LPHN3	1	0	1	0	0	0	2	1	1	0	0	0
POMT2	1	0	1	1	0	1	0	0	0	0	0	0
AVPI1	1	0	1	1	0	1	3	2	1	0	0	0
VPS52	1	0	1	4	3	1	0	0	0	0	0	0
AVPR2	1	0	1	8	7	1	0	0	0	0	0	0
NUDC	1	0	1	1	0	1	3	0	3	0	0	0
TMEM51	2	0	2	1	1	0	0	0	0	0	0	0
CLN6	5	0	5	7	6	1	0	0	0	0	0	0
ECE2	2	0	2	1	1	0	1	1	0	0	0	0
SOCS7	1	0	1	0	0	0	0	0	0	0	0	0
COMP	1	0	1	0	0	0	1	1	0	0	0	0
C11orf9	4	0	4	7	6	1	63	63	0	0	0	0
CCKBR	2	0	2	1	1	0	1	0	1	0	0	0
CAPN7	1	0	1	0	0	0	1	1	0	0	0	0
ZFAND6	1	0	1	0	0	0	0	0	0	0	0	0
OTUB2	1	0	1	4	0	4	0	0	0	0	0	0
CLEC10A	2	0	2	0	0	0	2	0	2	0	0	0
CYP7A1	3	0	3	1	1	0	1	0	1	0	0	0
ZW10	1	0	1	1	0	1	3	1	2	0	0	0
CYB5B	1	0	1	3	1	2	2	1	1	0	0	0
AHCYL1	1	0	1	0	0	0	0	0	0	0	0	0
USH2A	2	0	2	0	0	0	4	4	0	0	0	0
ARHGAP10	2	0	2	2	0	2	5	1	4	0	0	0
HAX1	1	0	1	3	1	2	8	6	2	0	0	0
PMS2	2	0	2	2	1	1	0	0	0	0	0	0
ASXL2	2	0	2	0	0	0	0	0	0	0	0	0
SRSF2	1	0	1	0	0	0	3	3	0	0	0	0
ICA1	1	0	1	4	0	4	0	0	0	0	0	0
HEBP1	1	0	1	0	0	0	0	0	0	0	0	0
PXMP4	2	0	2	3	3	0	0	0	0	0	0	0
DAK	1	0	1	0	0	0	1	1	0	0	0	0
NTRK3	1	0	1	1	1	0	1	0	1	0	0	0
SLC46A3	1	0	1	4	1	3	1	1	0	0	0	0
NIP7	1	0	1	2	1	1	3	3	0	0	0	0
SCN4A	1	0	1	0	0	0	2	0	2	0	0	0
CSGALNACT1	1	0	1	1	0	1	0	0	0	0	0	0
CTDSP1	1	0	1	0	0	0	0	0	0	0	0	0
MYL5	1	0	1	0	0	0	2	0	2	0	0	0
CAPN3	1	0	1	1	1	0	0	0	0	0	0	0
CRY2	1	0	1	2	2	0	2	2	0	0	0	0
CEP250	1	0	1	0	0	0	0	0	0	0	0	0
RBMS1	1	0	1	0	0	0	0	0	0	0	0	0
NEUROG2	1	0	1	0	0	0	0	0	0	0	0	0
C12orf43	1	0	1	1	0	1	0	0	0	0	0	0
MAX	1	0	1	1	1	0	1	1	0	0	0	0
DUSP3	1	0	1	8	0	8	0	0	0	0	0	0
WDR7	1	0	1	0	0	0	3	3	0	0	0	0
L3MBTL1	1	0	1	1	1	0	0	0	0	0	0	0
C17orf42	1	0	1	2	0	2	1	0	1	0	0	0
KRTAP5.8	1	0	1	2	2	0	0	0	0	0	0	0
CDC37	1	0	1	0	0	0	1	1	0	0	0	0
ZNF667	1	0	1	2	2	0	0	0	0	0	0	0
AHDC1	1	0	1	1	0	1	0	0	0	0	0	0
SPCS1	1	0	1	0	0	0	1	1	0	0	0	0
ANGPT4	1	0	1	1	0	1	3	0	3	0	0	0
SLC7A8	1	0	1	1	1	0	1	1	0	0	0	0
TNFAIP2	2	0	2	1	0	1	0	0	0	0	0	0
ZNF133	1	0	1	1	0	1	1	0	1	0	0	0
RNF5	1	0	1	1	1	0	0	0	0	0	0	0
AP1AR	1	0	1	0	0	0	0	0	0	0	0	0
VAPB	1	0	1	0	0	0	0	0	0	0	0	0
LARS2	1	0	1	3	0	3	0	0	0	0	0	0
TMEM45A	1	0	1	1	0	1	0	0	0	0	0	0
MVD	1	0	1	0	0	0	1	0	1	0	0	0
SPATA5L1	1	0	1	1	0	1	2	2	0	0	0	0
LILRA3	1	0	1	2	2	0	1	1	0	0	0	0
ESRRG	1	0	1	0	0	0	0	0	0	0	0	0
BIRC7	2	0	2	4	3	1	1	0	1	0	0	0
COL4A3	1	0	1	0	0	0	0	0	0	0	0	0
C1GALT1C1	1	0	1	2	1	1	2	2	0	0	0	0
WDR82	4	0	4	0	0	0	5	4	1	0	0	0
CIITA	1	0	1	2	0	2	1	0	1	0	0	0
S1PR5	1	0	1	0	0	0	0	0	0	0	0	0
EPB49	3	0	3	1	1	0	1	1	0	0	0	0
PPP2R3A	1	0	1	1	1	0	0	0	0	0	0	0
C9orf16	3	0	3	2	2	0	0	0	0	0	0	0
SYTL2	1	0	1	1	0	1	2	0	2	0	0	0
CACNB1	1	0	1	1	0	1	0	0	0	0	0	0
TUBA8	1	0	1	3	3	0	0	0	0	0	0	0
UCN	1	0	1	1	1	0	0	0	0	0	0	0
RASSF2	2	0	2	0	0	0	5	4	1	0	0	0
SLC1A7	1	0	1	0	0	0	1	0	1	0	0	0
BMP8B	1	0	1	0	0	0	3	3	0	0	0	0
TIPARP	1	0	1	1	1	0	3	2	1	0	0	0
REV1	1	0	1	0	0	0	2	0	2	0	0	0
LHB	1	0	1	0	0	0	1	0	1	0	0	0
RSAD2	1	0	1	8	3	5	0	0	0	0	0	0
B4GALT2	1	0	1	0	0	0	0	0	0	0	0	0
ZFAND5	1	0	1	0	0	0	0	0	0	0	0	0
TDO2	2	0	2	13	4	9	3	0	3	0	0	0
GP1BA	1	0	1	2	2	0	1	0	1	0	0	0
NUDT11	1	0	1	0	0	0	0	0	0	0	0	0
AZU1	1	0	1	3	2	1	2	1	1	0	0	0
METTL1	2	0	2	0	0	0	0	0	0	0	0	0
CNPPD1	1	0	1	1	1	0	0	0	0	0	0	0
FAN1	1	0	1	2	0	2	0	0	0	0	0	0
PRKAB1	1	0	1	3	0	3	0	0	0	0	0	0
FNTB	2	0	2	0	0	0	0	0	0	0	0	0
CLCN3	1	0	1	0	0	0	1	1	0	0	0	0
SLC18A1	2	0	2	0	0	0	1	0	1	0	0	0
ZFAND3	4	0	4	3	0	3	0	0	0	0	0	0
LY9	1	0	1	1	1	0	4	1	3	0	0	0
MXRA7	1	0	1	4	1	3	0	0	0	0	0	0
PCMTD2	1	0	1	1	1	0	1	0	1	0	0	0
ZNF276	1	0	1	3	3	0	0	0	0	0	0	0
NKX2.1	1	0	1	1	1	0	0	0	0	0	0	0
CSF1R	1	0	1	0	0	0	0	0	0	0	0	0
C17orf108	2	0	2	0	0	0	0	0	0	0	0	0
POLE2	2	0	2	2	1	1	5	2	3	0	0	0
HLA.DPB1	1	0	1	0	0	0	0	0	0	0	0	0
MADD	1	0	1	1	0	1	1	1	0	0	0	0
RAB3GAP1	1	0	1	0	0	0	0	0	0	0	0	0
TACR1	1	0	1	1	1	0	1	1	0	0	0	0
SNX4	1	0	1	4	1	3	1	0	1	0	0	0
PMEPA1	2	0	2	0	0	0	0	0	0	0	0	0
ENTPD7	2	0	2	3	0	3	2	2	0	0	0	0
SETD3	1	0	1	3	0	3	0	0	0	0	0	0
PSENEN	1	0	1	0	0	0	1	0	1	0	0	0
TERF2IP	1	0	1	1	0	1	0	0	0	0	0	0
TCF7	2	0	2	0	0	0	0	0	0	0	0	0
ELAVL3	2	0	2	29	28	1	0	0	0	0	0	0
PDE9A	1	0	1	1	0	1	3	3	0	0	0	0
CTF1	1	0	1	0	0	0	2	2	0	0	0	0
SLC35E1	3	0	3	1	0	1	5	1	4	0	0	0
KCTD17	3	0	3	3	1	2	0	0	0	0	0	0
SENP2	1	0	1	1	0	1	0	0	0	0	0	0
RPGR	1	0	1	1	0	1	0	0	0	0	0	0
AHNAK	1	0	1	0	0	0	2	2	0	0	0	0
DYRK3	1	0	1	2	2	0	0	0	0	0	0	0
HPN	1	0	1	1	1	0	2	0	2	0	0	0
NCKAP1	1	0	1	1	0	1	6	0	6	0	0	0
STEAP1	1	0	1	0	0	0	0	0	0	0	0	0
MAPK10	1	0	1	0	0	0	4	3	1	0	0	0
MCF2L	1	0	1	0	0	0	0	0	0	0	0	0
APOBEC2	2	0	2	0	0	0	9	0	9	0	0	0
EPHA4	1	0	1	1	1	0	0	0	0	0	0	0
GEMIN6	1	0	1	3	3	0	3	1	2	0	0	0
DLGAP2	2	0	2	0	0	0	0	0	0	0	0	0
ZNF214	2	0	2	0	0	0	14	14	0	0	0	0
ARHGAP32	1	0	1	1	0	1	1	0	1	0	0	0
ENO1	1	0	1	4	4	0	1	0	1	0	0	0
NBL1	1	0	1	0	0	0	0	0	0	0	0	0
KCNK7	2	0	2	2	1	1	0	0	0	0	0	0
HTN3	2	0	2	2	0	2	0	0	0	0	0	0
FARP1	2	0	2	4	4	0	0	0	0	0	0	0
NHP2	1	0	1	4	3	1	34	30	4	0	0	0
CYP4F2	1	0	1	1	1	0	0	0	0	0	0	0
CFP	1	0	1	0	0	0	0	0	0	0	0	0
SYMPK	2	0	2	3	3	0	3	0	3	0	0	0
PCYT1B	1	0	1	0	0	0	1	0	1	0	0	0
SNUPN	2	0	2	2	1	1	1	1	0	0	0	0
WDR47	1	0	1	0	0	0	0	0	0	0	0	0
SIGIRR	1	0	1	5	1	4	0	0	0	0	0	0
FAM59A	1	0	1	1	0	1	0	0	0	0	0	0
FMO1	1	0	1	1	0	1	1	0	1	0	0	0
TPM4	1	0	1	0	0	0	0	0	0	0	0	0
KIAA1751	1	0	1	0	0	0	0	0	0	0	0	0
PDIA5	1	0	1	0	0	0	1	0	1	0	0	0
WDR6	1	0	1	2	1	1	0	0	0	0	0	0
ADAMTS2	1	0	1	0	0	0	3	2	1	0	0	0
RPL36	1	0	1	2	0	2	0	0	0	0	0	0
GGT1	1	0	1	2	2	0	0	0	0	0	0	0
CD27	1	0	1	0	0	0	1	1	0	0	0	0
GRIK3	1	0	1	0	0	0	2	0	2	0	0	0
GJA3	1	0	1	2	2	0	0	0	0	0	0	0
SLC17A6	1	0	1	0	0	0	0	0	0	0	0	0
FAM96B	1	0	1	1	1	0	8	8	0	0	0	0
CEP68	1	0	1	1	0	1	0	0	0	0	0	0
CSTF3	1	0	1	4	4	0	0	0	0	0	0	0
FOXL2	1	0	1	0	0	0	0	0	0	0	0	0
PIK3CB	1	0	1	0	0	0	1	1	0	0	0	0
GRIP2	1	0	1	1	0	1	4	3	1	0	0	0
DSPP	1	0	1	0	0	0	0	0	0	0	0	0
ZCCHC6	1	0	1	0	0	0	0	0	0	0	0	0
TDP2	2	0	2	1	0	1	1	1	0	0	0	0
TM6SF1	1	0	1	0	0	0	3	3	0	0	0	0
RGS5	1	0	1	0	0	0	1	0	1	0	0	0
DCBLD2	1	0	1	0	0	0	0	0	0	0	0	0
PSAP	1	0	1	0	0	0	0	0	0	0	0	0
CABP5	2	0	2	1	1	0	1	0	1	0	0	0
HSD11B2	1	0	1	0	0	0	0	0	0	0	0	0
RFC3	1	0	1	2	0	2	3	2	1	0	0	0
TNRC6B	2	0	2	0	0	0	0	0	0	0	0	0
CDC42EP2	1	0	1	0	0	0	0	0	0	0	0	0
SASH3	1	0	1	1	0	1	0	0	0	0	0	0
APEH	2	0	2	2	0	2	4	4	0	0	0	0
HTR1E	1	0	1	0	0	0	0	0	0	0	0	0
INSL3	1	0	1	0	0	0	1	0	1	0	0	0
KCTD2	1	0	1	0	0	0	1	0	1	0	0	0
SYN2	1	0	1	0	0	0	0	0	0	0	0	0
AGAP4	1	0	1	0	0	0	1	1	0	0	0	0
RBM34	1	0	1	0	0	0	0	0	0	0	0	0
MICAL1	1	0	1	0	0	0	2	0	2	0	0	0
ZNF26	1	0	1	2	1	1	0	0	0	0	0	0
ALOX12B	1	0	1	1	1	0	0	0	0	0	0	0
P4HA1	1	0	1	1	1	0	1	0	1	0	0	0
LIPT1	1	0	1	1	0	1	0	0	0	0	0	0
OLR1	2	0	2	2	0	2	1	1	0	0	0	0
FXN	1	0	1	2	2	0	1	1	0	0	0	0
SLC6A5	1	0	1	1	1	0	0	0	0	0	0	0
ZMYND10	1	0	1	2	1	1	0	0	0	0	0	0
VAV2	1	0	1	0	0	0	2	1	1	0	0	0
OR7A10	1	0	1	0	0	0	0	0	0	0	0	0
CALM3	1	0	1	0	0	0	1	0	1	0	0	0
PPP1R12B	1	0	1	0	0	0	0	0	0	0	0	0
MCMBP	2	0	2	0	0	0	0	0	0	0	0	0
GCFC1	1	0	1	0	0	0	0	0	0	0	0	0
UAP1L1	1	0	1	2	2	0	0	0	0	0	0	0
INCENP	1	0	1	1	0	1	1	0	1	0	0	0
RPS15	1	0	1	2	0	2	0	0	0	0	0	0
PASK	1	0	1	1	1	0	1	1	0	0	0	0
ZSCAN2	1	0	1	0	0	0	0	0	0	0	0	0
OPRL1	1	0	1	2	2	0	0	0	0	0	0	0
CCT7	1	0	1	0	0	0	10	8	2	0	0	0
MYO1F	1	0	1	1	1	0	2	0	2	0	0	0
FKBPL	1	0	1	0	0	0	3	1	2	0	0	0
MRPS10	1	0	1	0	0	0	1	0	1	0	0	0
ATAD3A	1	0	1	3	1	2	0	0	0	0	0	0
F2RL2	2	0	2	2	2	0	5	1	4	0	0	0
SELRC1	1	0	1	1	1	0	0	0	0	0	0	0
SNX19	1	0	1	4	4	0	2	1	1	0	0	0
PRR4	1	0	1	2	0	2	1	1	0	0	0	0
C14orf101	1	0	1	3	0	3	1	0	1	0	0	0
DYNC1I1	1	0	1	0	0	0	0	0	0	0	0	0
CDC123	1	0	1	5	4	1	24	18	6	0	0	0
ADCY7	2	0	2	2	2	0	0	0	0	0	0	0
PRKD2	1	0	1	0	0	0	0	0	0	0	0	0
CINP	1	0	1	0	0	0	0	0	0	0	0	0
EIF2B5	1	0	1	1	1	0	0	0	0	0	0	0
KIF26B	1	0	1	0	0	0	0	0	0	0	0	0
SLC25A11	1	0	1	1	0	1	1	0	1	0	0	0
TNFRSF1A	1	0	1	0	0	0	0	0	0	0	0	0
KIAA0182	1	0	1	2	1	1	7	6	1	0	0	0
RRP8	1	0	1	0	0	0	0	0	0	0	0	0
C11orf71	1	0	1	2	1	1	0	0	0	0	0	0
WLS	1	0	1	1	1	0	0	0	0	0	0	0
PRUNE	1	0	1	3	2	1	3	0	3	0	0	0
ATRN	1	0	1	0	0	0	0	0	0	0	0	0
C7orf49	1	0	1	2	2	0	0	0	0	0	0	0
MYO1A	2	0	2	0	0	0	0	0	0	0	0	0
DEFA4	2	0	2	2	2	0	2	1	1	0	0	0
SMOX	1	0	1	0	0	0	0	0	0	0	0	0
SMUG1	1	0	1	1	0	1	2	0	2	0	0	0
DRD4	1	0	1	0	0	0	1	0	1	0	0	0
GPR21	1	0	1	0	0	0	11	0	11	0	0	0
CDC73	1	0	1	0	0	0	4	1	3	0	0	0
ALDH3B1	1	0	1	2	2	0	2	0	2	0	0	0
FUT6	1	0	1	0	0	0	0	0	0	0	0	0
VPS39	1	0	1	2	2	0	0	0	0	0	0	0
KIAA0174	3	0	3	2	0	2	1	1	0	0	0	0
DHFR	1	0	1	6	2	4	10	9	1	0	0	0
RBM5	1	0	1	4	0	4	0	0	0	0	0	0
HOXB8	2	0	2	0	0	0	0	0	0	0	0	0
IL25	1	0	1	0	0	0	0	0	0	0	0	0
UBE2D1	1	0	1	0	0	0	0	0	0	0	0	0
LECT2	1	0	1	0	0	0	0	0	0	0	0	0
RNF216	2	0	2	0	0	0	1	1	0	0	0	0
STRADA	1	0	1	5	5	0	0	0	0	0	0	0
MAGI1	1	0	1	0	0	0	1	0	1	0	0	0
C11orf30	1	0	1	9	0	9	0	0	0	0	0	0
A1CF	1	0	1	2	2	0	4	1	3	0	0	0
NDUFA9	2	0	2	0	0	0	7	6	1	0	0	0
